,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
571,E01000062,Violence Against the Person,Barking and Dagenham,2226,157.2,17339.16,0.151,6.622516556291391
6445,E01000617,Violence Against the Person,Brent,2228,141.5,15451.8,0.151,6.622516556291391
8766,E01000835,Violence Against the Person,Bromley,1771,140.5,14429.35,0.151,6.622516556291391
32009,E01003059,Violence Against the Person,Lambeth,2235,178.4,17518.88,0.151,6.622516556291391
22296,E01002135,Violence Against the Person,Harrow,1995,150.7,15070.0,0.151,6.622516556291391
28555,E01002735,Violence Against the Person,Islington,2954,185.6,19692.16,0.151,6.622516556291391
26685,E01002551,Violence Against the Person,Hillingdon,2081,172.4,17877.88,0.151,6.622516556291391
12396,E01001180,Violence Against the Person,Croydon,1989,158.5,16024.35,0.151,6.622516556291391
28852,E01002765,Violence Against the Person,Islington,2877,211.0,21247.7,0.151,6.622516556291391
53756,E01034617,Violence Against the Person,Hillingdon,2321,164.7,17194.68,0.152,6.578947368421053
10306,E01000984,Violence Against the Person,Croydon,1893,153.2,15794.92,0.152,6.578947368421053
34825,E01003326,Violence Against the Person,Lewisham,1825,157.6,16374.64,0.152,6.578947368421053
1968,E01000195,Violence Against the Person,Barnet,2004,144.1,14727.02,0.152,6.578947368421053
659,E01000070,Violence Against the Person,Barking and Dagenham,2073,175.1,18613.13,0.152,6.578947368421053
41084,E01003916,Violence Against the Person,Southwark,2409,181.4,18738.62,0.152,6.578947368421053
6533,E01000625,Violence Against the Person,Brent,1697,145.9,15027.7,0.152,6.578947368421053
10713,E01001023,Violence Against the Person,Croydon,2620,175.6,21282.72,0.152,6.578947368421053
15850,E01001501,Violence Against the Person,Enfield,2195,180.9,20857.77,0.152,6.578947368421053
16301,E01001545,Violence Against the Person,Enfield,1891,183.8,19464.42,0.152,6.578947368421053
39170,E01003740,Violence Against the Person,Redbridge,2236,154.7,16769.48,0.152,6.578947368421053
28225,E01002703,Violence Against the Person,Islington,2348,177.6,19216.32,0.152,6.578947368421053
3849,E01000367,Violence Against the Person,Bexley,2303,140.2,15323.86,0.152,6.578947368421053
10878,E01001038,Violence Against the Person,Croydon,1897,145.7,15604.47,0.152,6.578947368421053
41238,E01003933,Violence Against the Person,Southwark,2374,177.7,19937.94,0.152,6.578947368421053
25233,E01002411,Violence Against the Person,Hillingdon,2137,150.6,16641.3,0.153,6.5359477124183005
27389,E01002619,Violence Against the Person,Hounslow,2122,145.3,14718.89,0.153,6.5359477124183005
36706,E01003501,Violence Against the Person,Newham,2369,172.8,17262.72,0.153,6.5359477124183005
37179,E01003547,Violence Against the Person,Newham,1985,133.4,13179.92,0.153,6.5359477124183005
17500,E01001669,Violence Against the Person,Greenwich,2518,187.8,21559.44,0.153,6.5359477124183005
36200,E01003452,Violence Against the Person,Merton,2216,166.4,17089.28,0.153,6.5359477124183005
