,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
19119,Miscellaneous Crimes Against Society,E01033589,Redbridge,29.0,43.6,0.67
15912,Miscellaneous Crimes Against Society,E01001145,Croydon,16.6,43.4,0.38
17378,Miscellaneous Crimes Against Society,E01002835,Kensington and Chelsea,22.2,43.3,0.51
18348,Miscellaneous Crimes Against Society,E01003937,Southwark,24.7,43.3,0.57
15028,Miscellaneous Crimes Against Society,E01000123,Barnet,8.7,43.3,0.2
17093,Miscellaneous Crimes Against Society,E01002514,Hillingdon,28.7,43.2,0.66
16368,Miscellaneous Crimes Against Society,E01001655,Greenwich,20.3,43.1,0.47
17569,Miscellaneous Crimes Against Society,E01003055,Lambeth,28.4,43.1,0.66
19252,Miscellaneous Crimes Against Society,E01034149,Croydon,35.4,42.8,0.83
19274,Miscellaneous Crimes Against Society,E01034187,Greenwich,22.4,42.5,0.53
17202,Miscellaneous Crimes Against Society,E01002637,Hounslow,23.3,42.4,0.55
16103,Miscellaneous Crimes Against Society,E01001351,Ealing,31.0,42.3,0.73
16987,Miscellaneous Crimes Against Society,E01002385,Havering,18.5,42.0,0.44
19389,Miscellaneous Crimes Against Society,E01035495,Wandsworth,23.8,42.0,0.57
18556,Miscellaneous Crimes Against Society,E01004203,Tower Hamlets,24.3,41.9,0.58
15795,Miscellaneous Crimes Against Society,E01001013,Croydon,28.3,41.7,0.68
18932,Miscellaneous Crimes Against Society,E01004657,Westminster,19.1,41.7,0.46
18987,Miscellaneous Crimes Against Society,E01004731,Westminster,23.9,41.6,0.57
17335,Miscellaneous Crimes Against Society,E01002787,Islington,16.3,41.6,0.39
19255,Miscellaneous Crimes Against Society,E01034152,Croydon,24.7,41.6,0.59
16286,Miscellaneous Crimes Against Society,E01001555,Enfield,23.0,41.5,0.55
16008,Miscellaneous Crimes Against Society,E01001247,Ealing,27.3,41.5,0.66
18000,Miscellaneous Crimes Against Society,E01003535,Newham,16.7,41.3,0.4
19385,Miscellaneous Crimes Against Society,E01035491,Wandsworth,17.5,41.3,0.42
19094,Miscellaneous Crimes Against Society,E01033327,Lewisham,35.8,41.3,0.87
15731,Miscellaneous Crimes Against Society,E01000939,Camden,23.2,41.2,0.56
17426,Miscellaneous Crimes Against Society,E01002889,Kensington and Chelsea,19.9,41.2,0.48
15272,Miscellaneous Crimes Against Society,E01000408,Bexley,18.0,41.1,0.44
15657,Miscellaneous Crimes Against Society,E01000858,Camden,21.0,41.1,0.51
18955,Miscellaneous Crimes Against Society,E01004691,Westminster,20.5,41.1,0.5
19186,Miscellaneous Crimes Against Society,E01033883,Southwark,19.5,41.1,0.47
18016,Miscellaneous Crimes Against Society,E01003551,Newham,11.1,41.0,0.27
19266,Miscellaneous Crimes Against Society,E01034179,Greenwich,22.1,41.0,0.54
15232,Miscellaneous Crimes Against Society,E01000360,Bexley,21.3,41.0,0.52
17085,Miscellaneous Crimes Against Society,E01002505,Hillingdon,24.2,41.0,0.59
16982,Miscellaneous Crimes Against Society,E01002379,Havering,15.9,41.0,0.39
17253,Miscellaneous Crimes Against Society,E01002696,Islington,26.6,40.9,0.65
19151,Miscellaneous Crimes Against Society,E01033737,Greenwich,27.0,40.7,0.66
19096,Miscellaneous Crimes Against Society,E01033455,Brent,19.0,40.5,0.47
18610,Miscellaneous Crimes Against Society,E01004277,Tower Hamlets,25.7,40.5,0.63
15152,Miscellaneous Crimes Against Society,E01000264,Barnet,20.4,40.5,0.5
15962,Miscellaneous Crimes Against Society,E01001196,Ealing,16.6,40.5,0.41
15308,Miscellaneous Crimes Against Society,E01000447,Bexley,18.4,40.4,0.46
16963,Miscellaneous Crimes Against Society,E01002356,Havering,32.7,40.4,0.81
16113,Miscellaneous Crimes Against Society,E01001361,Ealing,33.7,40.2,0.84
16414,Miscellaneous Crimes Against Society,E01001718,Hackney,20.3,40.2,0.5
16960,Miscellaneous Crimes Against Society,E01002353,Havering,30.6,40.2,0.76
16333,Miscellaneous Crimes Against Society,E01001609,Greenwich,22.6,40.1,0.56
19251,Miscellaneous Crimes Against Society,E01034148,Croydon,21.2,40.1,0.53
15033,Miscellaneous Crimes Against Society,E01000129,Barnet,24.8,40.1,0.62
19003,Miscellaneous Crimes Against Society,E01004750,Westminster,23.4,40.0,0.58
15536,Miscellaneous Crimes Against Society,E01000720,Bromley,20.6,40.0,0.52
18252,Miscellaneous Crimes Against Society,E01003817,Richmond upon Thames,12.8,39.8,0.32
17299,Miscellaneous Crimes Against Society,E01002748,Islington,20.5,39.8,0.52
