,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
31514,Lambeth,E01032582,Miscellaneous Crimes Against Society,2281,24.0,33.4,0.72
44252,Waltham Forest,E01004420,Miscellaneous Crimes Against Society,2237,23.9,104.1,0.23
47260,Westminster,E01004731,Miscellaneous Crimes Against Society,1996,23.9,41.6,0.57
30684,Lambeth,E01003102,Miscellaneous Crimes Against Society,1771,23.9,37.2,0.64
46492,Wandsworth,E01035495,Miscellaneous Crimes Against Society,1332,23.8,42.0,0.57
8141,Bromley,E01034385,Miscellaneous Crimes Against Society,1439,23.7,47.9,0.49
15273,Enfield,E01033927,Miscellaneous Crimes Against Society,1647,23.6,39.2,0.6
27399,Islington,E01002770,Miscellaneous Crimes Against Society,1894,23.6,35.9,0.66
35322,Newham,E01003570,Miscellaneous Crimes Against Society,1936,23.4,37.3,0.63
35205,Newham,E01003558,Miscellaneous Crimes Against Society,1710,23.4,46.9,0.5
18807,Hammersmith and Fulham,E01001900,Miscellaneous Crimes Against Society,1732,23.4,50.8,0.46
26801,Islington,E01002704,Miscellaneous Crimes Against Society,2341,23.4,36.9,0.63
47420,Westminster,E01004750,Miscellaneous Crimes Against Society,1634,23.4,40.0,0.58
26013,Hounslow,E01002637,Miscellaneous Crimes Against Society,1940,23.3,42.4,0.55
27647,Islington,E01002795,Miscellaneous Crimes Against Society,1946,23.3,35.8,0.65
43981,Waltham Forest,E01004392,Miscellaneous Crimes Against Society,2573,23.3,31.2,0.75
4558,Bexley,E01033791,Miscellaneous Crimes Against Society,1386,23.3,44.8,0.52
9051,Camden,E01000939,Miscellaneous Crimes Against Society,1446,23.2,41.2,0.56
15111,Enfield,E01001559,Miscellaneous Crimes Against Society,2127,23.2,33.2,0.7
40198,Southwark,E01004067,Miscellaneous Crimes Against Society,2212,23.1,33.8,0.68
15071,Enfield,E01001555,Miscellaneous Crimes Against Society,2229,23.0,41.5,0.55
816,Barking and Dagenham,E01000095,Miscellaneous Crimes Against Society,2229,23.0,33.2,0.69
32631,Lewisham,E01003303,Miscellaneous Crimes Against Society,1743,22.9,37.7,0.61
7631,Bromley,E01000790,Miscellaneous Crimes Against Society,2290,22.9,31.9,0.72
42695,Tower Hamlets,E01032767,Miscellaneous Crimes Against Society,1554,22.7,63.9,0.36
15655,Greenwich,E01001609,Miscellaneous Crimes Against Society,1719,22.6,40.1,0.56
12221,Ealing,E01001261,Miscellaneous Crimes Against Society,2294,22.6,35.6,0.63
23693,Hillingdon,E01002397,Miscellaneous Crimes Against Society,1954,22.6,32.9,0.69
25090,Hillingdon,E01034602,Miscellaneous Crimes Against Society,1358,22.5,45.3,0.5
23599,Havering,E01033784,Miscellaneous Crimes Against Society,1570,22.5,38.8,0.58
39137,Southwark,E01003939,Miscellaneous Crimes Against Society,1962,22.5,38.4,0.59
16782,Greenwich,E01034187,Miscellaneous Crimes Against Society,1259,22.4,42.5,0.53
6316,Brent,E01033942,Miscellaneous Crimes Against Society,1599,22.4,47.9,0.47
27854,Islington,E01033491,Miscellaneous Crimes Against Society,1925,22.3,34.8,0.64
24666,Hillingdon,E01002506,Miscellaneous Crimes Against Society,2054,22.3,30.9,0.72
28147,Kensington and Chelsea,E01002835,Miscellaneous Crimes Against Society,1404,22.2,43.3,0.51
11079,Croydon,E01001155,Miscellaneous Crimes Against Society,1787,22.1,36.7,0.6
16704,Greenwich,E01034179,Miscellaneous Crimes Against Society,1410,22.1,41.0,0.54
37555,Redbridge,E01003776,Miscellaneous Crimes Against Society,1713,22.0,35.9,0.61
46825,Westminster,E01004682,Miscellaneous Crimes Against Society,1292,21.9,38.8,0.56
21062,Harrow,E01002129,Miscellaneous Crimes Against Society,2691,21.9,31.5,0.7
40321,Southwark,E01032639,Miscellaneous Crimes Against Society,1910,21.9,32.1,0.68
26052,Hounslow,E01002641,Miscellaneous Crimes Against Society,2728,21.8,30.8,0.71
1421,Barnet,E01000146,Miscellaneous Crimes Against Society,1859,21.8,34.9,0.62
47724,Westminster,E01035721,Miscellaneous Crimes Against Society,2336,21.7,34.3,0.63
39552,Southwark,E01003994,Miscellaneous Crimes Against Society,1825,21.6,37.4,0.58
40151,Southwark,E01004062,Miscellaneous Crimes Against Society,2178,21.6,46.9,0.46
26546,Hounslow,E01033084,Miscellaneous Crimes Against Society,1959,21.6,38.8,0.56
46961,Westminster,E01004699,Miscellaneous Crimes Against Society,1745,21.6,37.9,0.57
20135,Haringey,E01002037,Miscellaneous Crimes Against Society,1686,21.6,34.6,0.62
38734,Richmond upon Thames,E01003896,Miscellaneous Crimes Against Society,1914,21.5,37.1,0.58
37620,Redbridge,E01003783,Miscellaneous Crimes Against Society,2549,21.5,29.6,0.73
46098,Wandsworth,E01004617,Miscellaneous Crimes Against Society,1915,21.5,33.9,0.63
3528,Bexley,E01000360,Miscellaneous Crimes Against Society,1902,21.3,41.0,0.52
9041,Camden,E01000938,Miscellaneous Crimes Against Society,1383,21.3,38.3,0.56
47696,Westminster,E01035718,Miscellaneous Crimes Against Society,2659,21.2,33.0,0.64
11573,Croydon,E01034148,Miscellaneous Crimes Against Society,1634,21.2,40.1,0.53
