,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
47122,Violence Against the Person,Tower Hamlets,E01004204,3814,74.6,3826.98,0.00026
43129,Violence Against the Person,Bexley,E01000367,4606,70.1,3869.52,0.00026
46031,Violence Against the Person,Lambeth,E01003172,3908,75.4,3883.1,0.00026
46021,Violence Against the Person,Lambeth,E01003162,3754,76.8,3916.8,0.00026
44444,Violence Against the Person,Greenwich,E01001674,4484,79.1,3915.45,0.00026
43335,Violence Against the Person,Brent,E01000577,5046,80.9,3834.66,0.00026
44478,Violence Against the Person,Greenwich,E01033727,5412,80.6,3812.38,0.00026
47061,Violence Against the Person,Sutton,E01004146,3982,72.8,3836.56,0.00026
44529,Violence Against the Person,Hackney,E01001724,5712,79.6,3781.0,0.00026
45198,Violence Against the Person,Havering,E01002369,4134,70.4,3794.56,0.00026
45215,Violence Against the Person,Havering,E01002386,4172,73.5,3777.9,0.00026
46459,Violence Against the Person,Newham,E01003587,4988,80.7,3825.18,0.00026
45348,Violence Against the Person,Hillingdon,E01002519,3984,71.5,3789.5,0.00026
45051,Violence Against the Person,Harrow,E01002232,4350,82.1,3998.27,0.00025
46411,Violence Against the Person,Newham,E01003539,5062,76.2,4015.74,0.00025
47043,Violence Against the Person,Sutton,E01004127,3752,70.2,4001.4,0.00025
47310,Violence Against the Person,Waltham Forest,E01004352,3834,74.0,3959.0,0.00025
43944,Violence Against the Person,Croydon,E01001180,3978,79.3,4052.23,0.00025
44774,Violence Against the Person,Hammersmith and Fulham,E01001959,4100,74.9,4052.09,0.00025
47173,Violence Against the Person,Tower Hamlets,E01004274,3926,74.5,3941.05,0.00025
46569,Violence Against the Person,Redbridge,E01003666,5732,83.5,4066.45,0.00025
46507,Violence Against the Person,Newham,E01033586,4196,74.6,4050.78,0.00025
45967,Violence Against the Person,Lambeth,E01003107,3684,75.7,4034.81,0.00025
45961,Violence Against the Person,Lambeth,E01003100,4052,78.4,4045.44,0.00025
46925,Violence Against the Person,Southwark,E01004037,4016,78.2,4074.22,0.00025
42918,Violence Against the Person,Barnet,E01000170,3798,70.8,3957.72,0.00025
43806,Violence Against the Person,Croydon,E01001038,3794,72.9,3936.6,0.00025
43754,Violence Against the Person,Croydon,E01000984,3786,76.6,3983.2,0.00025
42881,Violence Against the Person,Barnet,E01000130,3832,71.7,4022.37,0.00025
42787,Violence Against the Person,Barking and Dagenham,E01000044,3928,78.8,3995.16,0.00025
