,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
38179,E01003646,Vehicle Offences,Redbridge,1900,144.0,15696.0,0.166,6.024096385542168
51995,E01034030,Vehicle Offences,Ealing,1834,181.2,19515.24,0.166,6.024096385542168
31788,E01003039,Vehicle Offences,Lambeth,2027,145.4,15645.04,0.166,6.024096385542168
21338,E01002045,Vehicle Offences,Haringey,2121,138.9,15042.87,0.167,5.988023952095808
20975,E01002010,Vehicle Offences,Haringey,1632,143.8,15573.54,0.167,5.988023952095808
7775,E01000742,Vehicle Offences,Bromley,2096,146.5,15763.4,0.167,5.988023952095808
26255,E01002506,Vehicle Offences,Hillingdon,2054,162.1,17441.96,0.167,5.988023952095808
20095,E01001928,Vehicle Offences,Hammersmith and Fulham,1815,142.9,15618.97,0.167,5.988023952095808
19523,E01001876,Vehicle Offences,Hammersmith and Fulham,2359,141.6,15306.96,0.167,5.988023952095808
11493,E01001097,Vehicle Offences,Croydon,2419,162.4,17652.88,0.168,5.952380952380952
9766,E01000930,Vehicle Offences,Camden,2106,138.5,14958.0,0.168,5.952380952380952
48948,E01004707,Vehicle Offences,Westminster,1883,162.8,17810.32,0.169,5.9171597633136095
20711,E01001986,Vehicle Offences,Haringey,1598,150.9,16538.64,0.169,5.9171597633136095
52644,E01034198,Vehicle Offences,Greenwich,2335,203.0,22208.2,0.169,5.9171597633136095
30039,E01002877,Vehicle Offences,Kensington and Chelsea,2230,145.3,15895.82,0.169,5.9171597633136095
32063,E01003064,Vehicle Offences,Lambeth,1435,152.1,16563.69,0.169,5.9171597633136095
20458,E01001963,Vehicle Offences,Haringey,1790,163.7,18007.0,0.169,5.9171597633136095
28906,E01002770,Vehicle Offences,Islington,1894,162.4,18172.56,0.169,5.9171597633136095
29071,E01002785,Vehicle Offences,Islington,1866,166.8,18398.04,0.17,5.88235294117647
27542,E01002633,Vehicle Offences,Hounslow,2206,177.1,19392.45,0.17,5.88235294117647
15849,E01001501,Vehicle Offences,Enfield,2195,180.6,20425.86,0.17,5.88235294117647
2517,E01000245,Vehicle Offences,Barnet,2065,130.5,14459.4,0.17,5.88235294117647
24154,E01002310,Vehicle Offences,Havering,1893,154.4,17771.44,0.171,5.847953216374268
17356,E01001652,Vehicle Offences,Greenwich,1719,145.4,16037.62,0.171,5.847953216374268
19655,E01001888,Vehicle Offences,Hammersmith and Fulham,1580,159.3,17650.44,0.172,5.813953488372094
45263,E01004352,Vehicle Offences,Waltham Forest,1917,153.7,17076.07,0.172,5.813953488372094
26167,E01002496,Vehicle Offences,Hillingdon,1949,176.9,19618.21,0.172,5.813953488372094
19413,E01001865,Vehicle Offences,Hammersmith and Fulham,1565,154.5,17566.65,0.173,5.780346820809249
27597,E01002638,Vehicle Offences,Hounslow,2176,149.2,16635.8,0.173,5.780346820809249
31645,E01003026,Vehicle Offences,Lambeth,1536,157.4,17660.28,0.173,5.780346820809249
2044,E01000202,Vehicle Offences,Barnet,1689,144.2,16222.5,0.173,5.780346820809249
46506,E01004468,Vehicle Offences,Waltham Forest,1814,150.5,17849.3,0.174,5.74712643678161
39565,E01003777,Vehicle Offences,Redbridge,1793,176.8,20367.36,0.174,5.74712643678161
2682,E01000260,Vehicle Offences,Barnet,2137,149.7,17859.21,0.174,5.74712643678161
38718,E01003697,Vehicle Offences,Redbridge,1732,155.9,17414.03,0.174,5.74712643678161
47672,E01004577,Vehicle Offences,Wandsworth,1893,147.6,16811.64,0.174,5.74712643678161
13077,E01001245,Vehicle Offences,Ealing,2125,153.1,17376.85,0.174,5.74712643678161
13297,E01001266,Vehicle Offences,Ealing,1862,171.9,19527.84,0.175,5.714285714285714
6092,E01000580,Vehicle Offences,Brent,2090,158.2,18382.84,0.175,5.714285714285714
36958,E01003527,Vehicle Offences,Newham,1863,168.0,20076.0,0.175,5.714285714285714
