,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
51995,E01034030,Vehicle Offences,Ealing,1834,181.2,19515.24,0.166,6.024096385542168
4046,E01000386,Vehicle Offences,Bexley,1510,180.8,21659.84,0.183,5.46448087431694
15849,E01001501,Vehicle Offences,Enfield,2195,180.6,20425.86,0.17,5.88235294117647
36683,E01003499,Vehicle Offences,Newham,2442,179.9,20868.4,0.177,5.649717514124294
20315,E01001950,Vehicle Offences,Hammersmith and Fulham,1493,179.7,23648.52,0.203,4.926108374384236
48871,E01004699,Vehicle Offences,Westminster,1745,179.0,21963.3,0.188,5.319148936170213
47551,E01004566,Vehicle Offences,Wandsworth,1683,179.0,21426.3,0.185,5.405405405405405
24539,E01002345,Vehicle Offences,Havering,1930,178.6,18431.52,0.16,6.25
9920,E01000947,Vehicle Offences,Camden,1656,178.3,22679.76,0.195,5.128205128205128
21855,E01002093,Vehicle Offences,Haringey,1807,178.1,23366.72,0.197,5.0761421319796955
51093,E01033738,Vehicle Offences,Greenwich,1877,177.7,21235.15,0.186,5.376344086021505
33460,E01003193,Vehicle Offences,Lewisham,1782,177.3,25389.36,0.223,4.484304932735426
27542,E01002633,Vehicle Offences,Hounslow,2206,177.1,19392.45,0.17,5.88235294117647
37651,E01003590,Vehicle Offences,Newham,1599,176.9,21086.48,0.182,5.4945054945054945
26167,E01002496,Vehicle Offences,Hillingdon,1949,176.9,19618.21,0.172,5.813953488372094
39565,E01003777,Vehicle Offences,Redbridge,1793,176.8,20367.36,0.174,5.74712643678161
48189,E01004627,Vehicle Offences,Wandsworth,1584,176.8,22488.96,0.196,5.1020408163265305
44933,E01004321,Vehicle Offences,Tower Hamlets,2247,176.2,20580.16,0.182,5.4945054945054945
19094,E01001836,Vehicle Offences,Hackney,1881,175.1,21379.71,0.178,5.617977528089888
39719,E01003791,Vehicle Offences,Redbridge,1533,174.6,21720.24,0.193,5.181347150259067
53227,E01034475,Vehicle Offences,Barking and Dagenham,1832,174.4,17945.76,0.158,6.329113924050633
26948,E01002578,Vehicle Offences,Hounslow,1526,173.8,22854.7,0.205,4.878048780487805
51720,E01033926,Vehicle Offences,Enfield,2617,172.9,16840.46,0.151,6.622516556291391
16674,E01001580,Vehicle Offences,Greenwich,1654,172.8,22394.88,0.199,5.025125628140703
16443,E01001558,Vehicle Offences,Enfield,2006,172.7,20102.28,0.178,5.617977528089888
35352,E01003375,Vehicle Offences,Merton,1780,172.2,22127.7,0.199,5.025125628140703
