,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
51345,E01033867,Theft,Southwark,1551,866.2,415949.24,0.739,1.3531799729364005
921,E01000095,Theft,Barking and Dagenham,2229,865.6,375064.48,0.677,1.4771048744460855
50542,E01033489,Theft,Islington,1421,865.2,392627.76,0.707,1.4144271570014144
41258,E01003935,Theft,Southwark,1291,861.6,371349.6,0.673,1.4858841010401187
1944,E01000193,Theft,Barnet,1935,857.3,259076.06,0.472,2.1186440677966103
27585,E01002637,Theft,Hounslow,1940,853.2,351347.76,0.577,1.733102253032929
51895,E01033942,Theft,Brent,1599,850.2,625577.16,1.0,1.0
50905,E01033704,Theft,Hackney,2339,849.8,241598.14,0.444,2.2522522522522523
44943,E01004322,Theft,Tower Hamlets,1376,842.2,272535.92,0.5,2.0
1625,E01000164,Theft,Barnet,1716,841.6,520192.96,0.935,1.06951871657754
10579,E01001010,Theft,Croydon,1715,838.3,384192.89,0.568,1.7605633802816902
28542,E01002734,Theft,Islington,2363,832.7,352398.64,0.486,2.05761316872428
49662,E01032573,Theft,Hounslow,1802,831.4,258648.54,0.486,2.05761316872428
37419,E01003569,Theft,Newham,2475,824.5,404664.6,0.602,1.6611295681063123
41137,E01003921,Theft,Southwark,1897,820.2,221454.0,0.42,2.380952380952381
53842,E01035491,Theft,Wandsworth,1211,810.2,357865.34,0.571,1.7513134851138354
9776,E01000931,Theft,Camden,2056,805.7,298189.57,0.538,1.858736059479554
32634,E01003118,Theft,Lambeth,1878,804.7,244226.45,0.469,2.1321961620469083
51829,E01033936,Theft,Brent,1654,796.6,259293.3,0.509,1.9646365422396856
36847,E01003517,Theft,Newham,1915,795.6,540610.2,0.993,1.0070493454179255
46120,E01004430,Theft,Waltham Forest,2671,794.8,206727.48,0.392,2.5510204081632653
29499,E01002827,Theft,Kensington and Chelsea,1701,788.8,277105.44,0.491,2.0366598778004072
20347,E01001953,Theft,Hammersmith and Fulham,1450,786.2,274069.32,0.528,1.8939393939393938
9039,E01000862,Theft,Camden,1712,785.8,290195.94,0.572,1.7482517482517483
52258,E01034146,Theft,Croydon,1447,784.2,305132.22,0.605,1.6528925619834711
52445,E01034179,Theft,Greenwich,1410,783.1,314023.1,0.597,1.6750418760469012
44811,E01004306,Theft,Tower Hamlets,1871,782.5,284908.25,0.515,1.941747572815534
26254,E01002506,Theft,Hillingdon,2054,780.7,317979.11,0.608,1.6447368421052633
9765,E01000930,Theft,Camden,2106,773.1,240434.1,0.485,2.061855670103093
51730,E01033927,Theft,Enfield,1647,769.0,328132.3,0.635,1.574803149606299
46186,E01004438,Theft,Waltham Forest,2117,768.6,220818.78,0.433,2.3094688221709005
