,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
43248,Tower Hamlets,Violence Against the Person,E01004287,4664,80.3,5.8082192226383944e-05,3621.53,0.068
26635,Hounslow,Violence Against the Person,E01002643,5468,78.6,5.7972859542022525e-05,4040.04,0.069
26653,Hounslow,Violence Against the Person,E01002663,4378,68.7,5.7933040644025386e-05,3173.94,0.07
36147,Newham,Violence Against the Person,E01003536,4262,66.9,5.7915476069267365e-05,3124.23,0.069
40432,Southwark,Violence Against the Person,E01003960,3576,77.3,5.782664900640806e-05,4158.74,0.08
31504,Lambeth,Violence Against the Person,E01003122,3818,82.6,5.777844980534729e-05,4146.52,0.077
37728,Redbridge,Violence Against the Person,E01003683,4370,68.8,5.774312830788728e-05,3268.0,0.066
47625,Westminster,Violence Against the Person,E01004654,4950,71.5,5.7692308801775176e-05,3389.1,0.069
36160,Newham,Violence Against the Person,E01003549,4274,74.2,5.760107866083943e-05,3554.18,0.071
31554,Lambeth,Violence Against the Person,E01003172,3908,75.4,5.758915333636137e-05,3883.1,0.078
13442,Ealing,Violence Against the Person,E01001321,4566,66.2,5.747734243161346e-05,3164.36,0.068
36184,Newham,Violence Against the Person,E01003573,4664,62.6,5.7311378796004845e-05,3029.84,0.07
20850,Haringey,Violence Against the Person,E01002101,4024,63.9,5.724854122129687e-05,3220.56,0.075
6277,Brent,Violence Against the Person,E01000617,4456,70.8,5.721623123779649e-05,3901.08,0.075
36245,Newham,Violence Against the Person,E01033584,3430,66.7,5.713809672314158e-05,3468.4,0.079
31512,Lambeth,Violence Against the Person,E01003130,3744,73.2,5.683060059601661e-05,3813.72,0.079
46476,Wandsworth,Violence Against the Person,E01004601,5020,58.9,5.681946671294044e-05,2815.42,0.072
43189,Tower Hamlets,Violence Against the Person,E01004204,3814,74.6,5.68066720117958e-05,3826.98,0.077
31438,Lambeth,Violence Against the Person,E01003054,4436,71.1,5.671909098808513e-05,3803.85,0.079
16807,Greenwich,Violence Against the Person,E01001674,4484,79.1,5.6687735608401125e-05,3915.45,0.073
13366,Ealing,Violence Against the Person,E01001244,5630,71.0,5.663984033908686e-05,3294.4,0.068
31529,Lambeth,Violence Against the Person,E01003147,4126,66.4,5.648959532266151e-05,3253.6,0.074
6216,Brent,Violence Against the Person,E01000551,5790,73.3,5.642175169114327e-05,3122.58,0.064
13367,Ealing,Violence Against the Person,E01001245,4250,68.5,5.640344981548175e-05,3493.5,0.078
8143,Bromley,Violence Against the Person,E01000835,3542,70.2,5.606204498642738e-05,3643.38,0.075
16841,Greenwich,Violence Against the Person,E01033727,5412,80.6,5.595533466130264e-05,3812.38,0.064
43186,Tower Hamlets,Violence Against the Person,E01004201,3384,75.6,5.595238228458053e-05,4324.32,0.087
11590,Croydon,Violence Against the Person,E01001180,3978,79.3,5.573770638000542e-05,4052.23,0.075
37755,Redbridge,Violence Against the Person,E01003711,3826,76.3,5.571574140742086e-05,3998.12,0.078
44763,Waltham Forest,Violence Against the Person,E01004469,3888,77.6,5.5670102977999785e-05,4136.08,0.079
3058,Barnet,Violence Against the Person,E01000195,4008,72.1,5.5589458948907835e-05,3720.36,0.076
41688,Sutton,Violence Against the Person,E01004182,3586,71.7,5.557105370497772e-05,3699.72,0.073
44739,Waltham Forest,Violence Against the Person,E01004444,8355,71.8,5.541185721760774e-05,2857.64,0.059
13338,Ealing,Violence Against the Person,E01001213,3972,80.1,5.509779390086155e-05,4517.64,0.085
33141,Lewisham,Violence Against the Person,E01003213,3920,71.3,5.497896065133794e-05,3557.87,0.072
20791,Haringey,Violence Against the Person,E01002041,5607,72.9,5.4938272181451004e-05,3346.11,0.064
11400,Croydon,Violence Against the Person,E01000984,3786,76.6,5.49173186816856e-05,3983.2,0.076
37744,Redbridge,Violence Against the Person,E01003700,5130,71.9,5.4883919686604036e-05,3444.01,0.07
40472,Southwark,Violence Against the Person,E01004012,4708,86.2,5.461716887426533e-05,4378.96,0.075
15224,Enfield,Violence Against the Person,E01001512,4578,69.9,5.457796713664118e-05,3474.03,0.063
43206,Tower Hamlets,Violence Against the Person,E01004228,4122,75.6,5.452381057534015e-05,3900.96,0.078
16743,Greenwich,Violence Against the Person,E01001595,4462,68.3,5.444118976864944e-05,3496.96,0.069
26657,Hounslow,Violence Against the Person,E01002668,4556,76.2,5.435457018933381e-05,3970.02,0.072
31544,Lambeth,Violence Against the Person,E01003162,3754,76.8,5.4311343032615045e-05,3916.8,0.078
27828,Islington,Violence Against the Person,E01002709,3418,78.8,5.421954382495242e-05,4397.04,0.084
13511,Ealing,Violence Against the Person,E01032743,4544,76.2,5.4211404854403616e-05,4084.32,0.078
36153,Newham,Violence Against the Person,E01003542,4448,82.4,5.3980582105005184e-05,4095.28,0.074
22152,Harrow,Violence Against the Person,E01002202,4368,73.9,5.373354651938803e-05,3864.97,0.08
16805,Greenwich,Violence Against the Person,E01001672,3930,81.4,5.364455472095953e-05,4599.1,0.084
6148,Brent,Violence Against the Person,E01000477,4636,78.9,5.341629239651127e-05,3897.66,0.072
23614,Havering,Violence Against the Person,E01002369,4134,70.4,5.338326305515724e-05,3794.56,0.08
43275,Tower Hamlets,Violence Against the Person,E01004319,5080,73.3,5.33109455794404e-05,3584.37,0.073
29765,Kingston upon Thames,Violence Against the Person,E01002965,5084,79.5,5.329140507692295e-05,4261.2,0.078
3170,Barnet,Violence Against the Person,E01000308,4216,72.0,5.323232251718193e-05,3405.6,0.072
22092,Harrow,Violence Against the Person,E01002140,3594,75.1,5.317354611826732e-05,3920.22,0.078
4530,Bexley,Violence Against the Person,E01000430,4156,71.2,5.3064352254330216e-05,4058.4,0.082
22087,Harrow,Violence Against the Person,E01002135,3990,75.3,5.298804907541153e-05,3802.65,0.075
